session,student_Id,Md_Other,Ds_Other,Md_Aulaweb,Ds_Aulaweb,Md_Blank,Ds_Blank,Md_Deeds,Md_Study,Md_Properties,Ds_Properties,Md_Diagram,Ds_Diagram,Md_TextEditor,Md_Fsm,Ds_TextEditor
4,35,12.208,53.589,9.019,41.045,17.603,97.168,0.0,4.227,23.074,97.871,345.814,3696.828,1.789,0.0,0.0
4,36,55.741,423.712,128.11,520.811,0.279,1.612,37.585,0.471,38.247,193.629,300.101,1096.544,47.023,0.0,0.0
4,37,9.649,56.163,0.165,0.273,367.034,3809.161,0.0,0.0,86.18,379.051,484.428,1805.736,178642.658,0.0,0.0
4,38,58.903,509.329,53.832,322.869,22.403,171.199,0.966,0.0,0.247,0.665,111.595,397.551,0.14,0.0,0.0
4,39,116.555,997.102,4.509,25.347,2.97,36.137,0.0,0.0,38.698,303.714,543.683,3205.108,1899.905,0.047,0.0
4,40,2.48,8.285,9.276,25.152,0.066,0.25,0.0,0.0,16.546,28.261,558.454,2768.551,0.0,0.0,0.0
4,41,29.725,133.534,2.979,12.131,0.939,6.219,0.0,237.149,6.604,44.894,190.877,604.13,0.0,0.0,0.0
4,42,34.679,355.214,6.885,41.598,3.204,20.412,0.0,0.0,14.275,83.83,310.764,1413.99,0.032,0.0,0.0
4,43,12.023,58.881,5.522,27.534,0.242,0.9,0.0,0.0,1.873,4.214,472.237,3252.07,0.0,0.0,0.0
4,44,0.79,6.172,17.096,128.459,1.246,8.726,0.0,0.0,0.915,5.456,103.38,612.775,662.077,0.0,0.0
4,45,29.108,92.579,60.169,103.417,13.782,40.824,48.94,0.998,8.434,30.397,301.08,1022.729,2.156,0.0,2.723
4,46,23.526,256.21,85.298,575.319,0.221,1.309,0.943,0.0,1.829,9.669,388.681,2195.366,0.032,0.0,0.0
4,47,30.399,174.128,28.651,139.149,1.019,10.669,0.0,0.0,5.48,20.176,97.982,518.609,126.68,0.0,219.416
4,48,178.485,1327.341,19.628,63.402,9.986,92.73,0.0,76.193,3.675,18.278,338.539,2560.576,2.048,0.0,0.0
4,49,21.281,153.114,2.442,10.326,2.999,27.295,0.0,1.607,1.747,8.627,321.22,1614.559,0.045,0.0,0.0
4,50,45.987,180.601,128.485,441.822,3.92,18.137,0.062,0.063,6.928,30.413,3993.851,31943.053,4.12,0.0,0.0
4,51,4.461,31.57,2.809,18.543,0.245,1.631,0.0,108.893,72.164,278.97,372.027,1631.061,28.667,0.0,0.0
4,52,12.556,72.389,82.815,361.132,1.392,7.659,0.0,1.559,26.283,114.421,359.801,1776.543,189.205,0.0,0.0
4,53,8.169,58.745,509.249,2239.126,5.426,46.055,0.016,3949.77,12.674,67.991,621.982,3660.893,0.0,0.0,0.0
4,54,98.704,977.358,12.28,68.953,1.833,13.157,0.015,0.0,71.83,498.281,173.229,1228.406,0.188,0.048,0.0
4,55,11.671,92.984,7.536,24.394,184.791,2549.885,0.062,0.0,3368.084,24706.525,425.796,2477.895,0.0,0.0,0.0
4,56,9.116,59.566,7.808,40.812,60.799,841.404,0.032,0.844,21.042,209.084,283.49,3466.564,0.045,0.0,0.0
4,57,288.276,1015.669,0.0,0.0,0.089,0.202,0.0,0.0,34.085,257.556,439.762,2584.035,33.323,0.0,0.0
4,58,17.338,48.78,0.0,0.0,0.834,2.242,0.0,0.0,251.396,1548.893,454.39,2244.765,1.03,0.0,0.0
4,59,45.85,385.266,115.247,826.897,22.831,310.795,0.0,1.03,19.283,65.875,1427.372,9694.225,935.832,0.0,0.0
4,60,6.054,38.738,13.865,36.396,0.083,0.251,0.0,0.016,11.027,62.216,641.371,4134.322,0.109,0.0,0.0
4,61,18.886,144.369,54.27,347.905,8.534,100.546,0.0,125.774,5.717,37.118,41.43,264.835,0.0,0.078,0.0
4,62,3.852,13.95,0.619,2.733,5.403,41.275,0.188,311.399,27.538,193.552,489.61,1736.282,0.032,0.0,0.0
4,63,77.783,502.75,12.696,97.142,7.331,79.698,0.015,0.0,7.474,47.601,650.979,5577.664,16.458,0.0,0.0
4,64,23.312,78.141,74.228,194.665,1.056,4.757,0.0,0.0,28.445,103.364,55.249,216.849,0.251,0.0,0.0
4,65,147.224,680.283,0.408,1.14,5.318,29.375,0.03,49.125,9.174,67.374,96.726,695.045,0.951,0.0,0.0
4,66,227.991,2619.053,3.79,19.739,14.522,126.173,0.0,0.0,1.368,4.556,242.974,1918.832,66.767,0.0,0.0
4,67,259.037,1966.75,92.845,822.195,26.883,217.981,0.0,0.0,5.113,41.311,865.265,4056.027,0.0,0.046,0.0
4,68,30.833,156.155,20.61,106.38,0.478,2.43,0.0,0.156,11.085,50.465,558.194,4411.996,319.816,0.0,0.0
4,69,82.656,331.073,36.556,91.053,1122.236,6722.186,0.03,1.64,75.452,404.646,3693.292,29024.01,168.048,0.0,0.0
4,70,7.999,65.843,2.272,7.243,3.373,23.767,0.0,0.03,18.928,123.261,713.678,5522.516,0.0,0.0,0.0
4,71,88.709,1015.819,5.464,29.05,2.23,16.451,0.015,0.0,0.38,1.005,62.427,222.753,0.815,0.0,0.0
4,72,12.558,91.708,2.111,10.048,12.929,111.195,0.11,0.015,3.888,15.89,243.078,964.517,0.032,0.0,0.0
4,73,6.815,26.132,0.0,0.0,575.902,3353.158,0.031,0.0,20.101,129.266,351.378,1258.864,0.0,0.0,0.0
4,74,38.264,499.615,5.637,30.055,18.895,276.534,0.0,0.0,9.567,68.543,178.359,1639.862,0.0,0.0,0.0
4,75,6.596,21.283,7.497,39.914,0.108,0.349,0.0,0.063,10.084,37.162,144.59,722.987,0.0,0.0,0.0
4,76,17.095,93.793,52.626,434.498,0.23,1.167,0.0,0.096,1.407,6.915,156.588,877.311,0.0,0.0,0.0
4,77,491.363,2130.564,0.0,0.0,11.728,38.868,0.0,0.0,20.444,69.398,526.277,2738.064,63.062,0.0,0.0
4,78,28.683,339.577,0.766,3.46,0.4,2.074,0.0,0.0,44.091,386.276,382.081,2459.056,0.874,0.0,0.0
4,79,15.22,76.578,3.706,15.658,0.516,3.244,0.0,0.016,7.461,30.438,972.41,4107.786,5.906,0.0,0.0
4,80,18738.874,296786.229,488.972,2724.037,0.43,3.001,0.0,0.0,2.68,10.612,310.469,1143.653,0.062,0.0,0.0
4,81,70.847,609.895,30.833,172.562,38.612,404.321,346.168,0.0,6.097,39.683,332.815,1618.408,1.994,0.0,0.0
4,82,360.684,5965.984,13.459,102.23,4.26,46.363,15.404,0.0,1.728,8.316,144.845,1131.116,0.015,0.0,0.0
4,83,11.264,142.007,0.701,2.11,0.75,6.118,0.0,0.015,3.308,7.884,618.304,4673.739,319.939,0.0,0.0
4,84,19.493,155.1,0.71,1.039,0.205,0.573,0.0,1446.977,17.49,73.857,472.837,2672.101,25.19,0.0,0.0
4,85,74.85,1173.765,349.897,2577.039,11.667,101.935,20.105,0.016,3.371,20.252,650.736,3687.581,0.0,0.0,0.0
4,86,10.593,78.563,3.582,17.256,1.442,17.97,0.0,0.094,15.564,109.536,821.789,4197.712,4772.133,0.0,0.0
4,87,20.776,160.585,3.185,13.886,5.613,36.079,0.03,648.388,20.13,161.156,236.529,969.632,0.016,0.0,0.0
4,88,7.37,25.307,3.436,14.078,9.762,60.084,0.062,7.329,13.758,81.981,102.97,367.94,17348.935,0.0,0.0
4,89,5241.582,48977.382,0.144,0.305,3.341,11.783,0.094,0.0,74.013,495.925,12272.521,78622.854,1712.0,0.0,0.0
4,90,4.753,32.174,0.449,2.004,43.666,306.264,0.0,0.0,0.147,0.398,190.647,829.291,0.046,0.0,0.0
4,91,283.27,4425.242,41.587,234.93,16.245,154.045,0.03,427.793,3.211,17.999,407.754,2023.033,0.0,0.0,0.0
4,92,34.066,183.509,64.789,421.019,1.02,5.698,4.898,0.0,26.096,127.3,3237.757,26192.184,0.109,0.0,0.0
4,93,14.76,73.35,2414.668,15957.957,7.501,48.571,0.015,0.0,6.278,29.697,225.928,960.221,174.309,0.0,0.0
4,94,73.078,864.598,2.182,9.966,4.508,28.34,0.0,4755.975,7.042,28.714,414.916,1836.808,49.757,0.0,0.0
4,95,5.769,37.502,0.377,1.691,4.669,40.423,0.0,0.077,5.987,40.596,117.315,690.94,0.062,0.0,0.0
4,96,3.889,22.011,2.867,9.082,0.812,3.401,0.015,0.0,11.593,86.666,275.29,860.292,0.0,0.0,0.0
4,97,67.093,748.087,17.463,166.825,1.688,16.062,0.0,0.047,44.778,331.667,1053.626,10579.645,0.094,0.0,0.0
4,98,226.041,2362.863,657.491,3199.826,1.214,3.726,0.0,269.553,12.845,73.047,683.934,2815.111,0.0,0.47,0.0
4,99,18.125,170.799,1.841,8.345,0.069,0.278,0.28,0.0,9.105,72.081,391.587,1869.936,0.045,0.0,0.0
