session,student_Id,Md_Other,Ds_Other,Md_Deeds,Md_Blank,Ds_Blank,Md_Study,Md_Properties,Ds_Properties,Md_Diagram,Ds_Diagram,Md_TextEditor,Md_Aulaweb,Ds_Aulaweb,Md_Fsm,Ds_TextEditor,Ds_Deeds
3,17,14.084,106.329,0.016,57.551,626.686,0.016,0.067,0.333,25.119,97.112,10.074,3.105,11.798,0.0,0.0,0.0
3,18,2.166,12.447,0.0,0.953,8.71,0.0,1.527,5.836,28.657,110.705,0.0,0.03,0.064,0.0,0.0,0.0
3,19,29.979,159.689,0.015,1.029,5.269,0.0,0.308,0.911,73.834,162.377,0.217,169.566,160.653,0.0,0.0,0.0
3,20,8.013,55.021,0.0,26.513,329.056,3.199,0.677,2.493,396.889,2180.295,11.32,3.733,13.074,0.0,22.288,0.0
3,23,32.064,164.595,0.0,1.426,4.369,2646.018,0.0,0.0,16.992,17.312,10312.864,90.58,338.278,0.0,17862.323,0.0
3,24,93.046,807.794,0.062,6.076,37.988,0.25,0.261,0.87,58.628,316.963,0.0,123.972,436.699,0.0,0.0,0.0
3,25,15.601,81.174,25.764,4.707,32.772,0.001,2.094,0.0,190.066,265.498,4.109,0.559,1.188,0.0,0.0,0.0
3,27,11.154,66.938,0.0,0.311,1.423,3263.598,0.04,0.154,56.59,245.275,5.927,1088.67,1871.857,0.0,0.0,0.0
3,28,6.897,29.457,0.0,0.853,5.173,0.0,3.826,15.716,388.241,2062.077,1.217,116.315,761.131,0.0,0.0,0.0
3,29,8.543,88.254,0.0,0.218,0.617,4.958,0.003,0.008,28.852,83.136,6.857,0.276,0.639,0.0,0.0,0.0
3,30,13.551,97.264,0.0,27.299,239.844,51.439,3.526,17.571,470.686,3502.523,60.213,1282.879,7214.599,0.0,0.0,0.0
3,31,45.241,158.28,0.0,1.003,2.703,0.0,0.033,0.093,12.168,18.194,0.188,1.591,4.658,0.0,0.0,0.0
3,32,10.443,64.233,0.0,0.774,8.128,10.265,0.394,2.315,84.8,348.636,78.357,1.418,9.533,0.0,0.0,0.0
3,34,16.663,79.89,0.0,238.626,1577.133,0.0,0.587,3.589,25.61,151.607,1.39,151.929,901.635,0.0,0.0,0.0
3,35,26.158,67.127,2.956,21.734,112.897,45.833,0.0,0.0,9.948,31.36,97.898,21.366,46.042,0.0,0.0,0.0
3,36,59.916,495.853,0.344,0.334,1.763,0.471,5.733,25.68,351.288,1217.655,0.982,128.11,520.811,0.0,0.0,0.0
3,38,77.821,586.871,0.031,29.802,199.223,0.701,0.201,0.419,166.734,484.638,0.484,75.865,388.798,0.0,0.0,0.0
3,39,141.672,1100.56,0.0,3.634,40.978,0.0,0.929,4.675,377.613,1536.467,2.467,0.394,1.133,0.0,0.0,0.0
3,41,31.166,139.083,0.0,1.14,7.102,0.0,0.48,2.147,65.373,289.959,40.17,4.007,13.995,0.0,0.0,0.0
3,42,10.489,54.372,0.0,3.733,24.688,0.0,14.972,110.343,397.411,1896.727,4.514,4.642,30.99,0.0,0.0,0.0
3,43,12.888,63.504,0.14,0.223,0.631,0.343,1.643,4.155,370.684,2398.272,6100.916,7.067,31.302,0.0,0.0,0.0
3,44,0.793,6.391,0.0,1.656,10.165,969.707,0.017,0.054,116.809,716.192,0.001,17.096,128.459,0.0,0.0,0.0
3,45,2.689,6.67,0.0,43.146,86.23,0.094,0.0,0.0,0.771,0.924,0.0,121.307,209.599,0.0,0.0,0.0
3,47,35.302,193.14,0.327,1.359,12.332,153.266,2.469,7.195,41.078,122.991,90.673,22.932,104.926,0.0,0.0,0.0
3,48,208.81,1434.276,0.03,13.725,110.047,0.872,0.001,0.004,52.639,268.681,0.0,19.628,63.402,0.0,0.0,0.0
3,49,23.748,163.419,0.0,3.175,28.113,0.0,1.373,6.497,522.216,2292.654,0.032,3.2,11.996,0.0,0.0,0.0
3,50,48.792,201.362,0.0,4.805,21.23,0.358,0.531,1.283,18.801,67.567,2.058,87.033,373.729,0.0,0.0,0.0
3,51,3.741,29.188,0.318,0.238,1.674,5.094,0.451,1.896,595.795,2187.914,0.008,2.835,18.643,0.0,0.0,0.0
3,52,13.055,75.229,2.09,1.428,8.15,0.0,4.103,28.931,271.033,1126.911,0.0,64.71,355.999,0.0,0.0,0.0
3,53,8.595,60.612,0.0,4.155,30.89,0.0,0.782,2.596,65.662,239.973,0.0,509.249,2239.126,0.0,0.0,0.0
3,54,8.535,47.41,0.0,0.663,2.47,0.0,0.349,1.515,33.252,204.073,446.106,12.313,73.745,0.048,0.0,0.0
3,55,14.763,105.906,0.091,2.093,20.511,5.062,0.567,1.254,345.974,1870.416,8.158,8.789,27.068,0.0,0.0,0.0
3,56,13.816,78.984,0.0,71.443,956.849,0.0,0.052,0.255,27.111,123.089,130.632,8.127,41.622,0.0,0.0,0.0
3,59,62.284,459.681,0.005,1.648,11.979,0.016,10.574,60.182,1682.303,12594.904,0.0,115.247,826.897,0.0,0.0,0.009
3,61,23.045,164.043,0.0,9.558,110.035,0.0,0.02,0.037,6.879,26.478,0.0,70.599,403.633,0.078,0.0,0.0
3,66,251.315,2749.385,0.0,15.895,132.435,0.0,0.622,1.625,281.88,2071.347,0.0,4.501,21.713,0.0,0.0,0.0
3,67,272.249,2028.092,0.0,28.651,225.417,0.0,0.059,0.207,887.915,4173.952,0.032,102.724,864.905,0.046,0.0,0.0
3,68,37.702,181.436,0.0,0.124,0.491,7.474,0.906,2.66,130.958,676.028,0.046,29.732,128.591,0.0,0.0,0.0
3,69,161.85,483.15,308.471,2.959,9.993,0.842,0.047,0.081,8.959,15.313,12.795,53.062,118.124,0.0,0.0,0.0
3,70,8.891,69.822,0.0,3.941,25.669,35.471,0.419,1.723,916.746,7056.265,2.604,2.178,7.357,0.0,0.0,0.0
3,72,11.856,92.967,0.015,2.913,32.015,1.426,0.229,0.74,4.862,22.727,0.06,1.442,6.059,0.0,0.0,0.0
3,73,5.32,20.338,473.363,590.417,3567.999,0.0,1.262,6.838,188.947,886.356,0.75,0.0,0.0,0.0,0.0,0.0
3,74,41.297,524.04,0.0,7.243,57.369,0.0,0.253,0.758,355.965,2471.308,0.894,6.052,32.459,0.0,0.0,0.0
3,75,7.252,21.164,0.015,0.109,0.376,0.0,0.059,0.096,213.108,988.623,470.924,0.525,0.721,0.0,0.0,0.0
3,76,6.983,51.032,0.0,0.197,1.098,0.0,1.088,4.857,181.902,928.435,0.638,1.572,7.602,0.0,0.0,0.0
3,78,36.561,389.004,3.353,0.475,2.282,192.61,4.053,10.437,651.255,3520.467,0.268,0.934,3.929,0.0,0.0,0.0
3,79,18.64,85.104,0.0,0.625,3.67,0.25,2.289,5.149,792.308,3522.105,1.543,4.245,17.802,0.0,0.0,0.0
3,80,33731.749,398331.446,259.067,0.531,3.364,20198.896,0.662,2.289,624.075,1757.255,0.13,647.271,3128.685,0.0,0.0,0.0
3,81,78.11,642.251,0.876,47.112,446.759,0.814,11.872,64.385,506.052,2144.301,1.546,36.667,190.181,0.0,0.0,0.0
3,82,585.111,7616.431,0.252,4.758,49.05,0.016,0.078,0.434,320.347,1858.037,317.847,15.205,108.662,0.0,0.0,0.0
3,83,14.684,164.058,0.015,0.219,0.95,1.472,2.499,7.486,6.083,23.694,195.05,0.587,1.598,0.0,0.0,0.0
3,84,27.86,189.577,0.64,0.249,0.637,0.906,0.473,1.129,129.135,387.322,0.688,0.0,0.0,0.0,0.0,0.0
3,85,99.965,1359.318,0.0,12.531,105.636,0.0,0.339,0.657,147.096,794.698,0.203,361.56,2619.535,0.0,0.0,0.0
3,86,11.322,83.701,0.0,1.496,18.37,0.094,3.735,28.27,185.639,543.302,24.389,3.582,17.256,0.0,0.0,0.0
3,87,7.287,55.009,0.0,6.442,40.129,5.923,0.241,1.077,229.219,1106.479,0.469,3.906,15.491,0.0,0.0,0.0
3,88,7.308,25.67,0.0,7.034,56.043,9.582,1.036,3.654,153.312,498.724,0.032,3.941,15.472,0.0,0.0,0.0
3,89,13366.973,78563.192,0.188,0.108,0.229,0.0,4.144,4.016,306.461,279.623,25936.41,0.344,0.0,0.0,71980.076,0.0
3,90,1.861,11.273,341.1,42.12,317.502,0.0,0.065,0.156,351.477,1122.371,4.667,0.449,2.004,0.0,0.0,0.0
3,91,332.865,4812.459,0.0,11.882,119.021,0.0,0.215,1.087,221.262,816.1,14.522,41.587,234.93,0.0,0.0,0.0
3,92,36.65,191.115,0.016,1.124,6.038,0.001,1.713,5.597,415.119,2997.844,0.016,65.869,424.486,0.0,0.0,0.0
3,93,17.118,78.918,0.016,5.622,38.878,0.0,0.027,0.087,220.148,1000.206,25.568,22.784,105.996,0.0,0.0,0.0
3,94,72.125,925.354,0.0,5.026,29.892,1.907,10.108,37.045,248.884,686.749,0.0,2.271,10.903,0.0,0.0,0.0
3,95,6.937,41.258,0.016,5.533,43.995,0.0,1.021,3.354,3.559,17.065,0.0,0.334,1.746,0.0,0.0,0.0
3,97,5.039,35.852,0.125,2.257,18.589,115.322,0.709,2.712,146.695,689.111,0.0,28.463,216.013,0.0,0.0,0.0
3,98,263.774,2553.483,0.0,1.326,3.878,0.062,0.286,0.812,328.042,1278.781,102.269,657.491,3199.826,0.0,0.0,0.0
3,99,25.102,222.35,10.17,0.076,0.314,0.0,0.118,0.346,113.395,669.232,0.063,3.123,12.012,0.0,0.0,0.0
3,100,59.007,316.544,0.015,19.913,182.475,0.0,1.763,9.046,110.262,491.374,2.593,29.826,103.583,0.0,0.0,0.0
3,101,18.334,128.594,0.0,0.377,2.254,0.0,0.021,0.067,581.392,2683.158,32.735,28.407,99.499,0.0,0.0,0.0
3,102,9.895,53.24,0.0,3.186,36.32,0.0,7.573,49.011,97.842,652.211,3.477,5.153,14.019,0.0,0.0,0.0
3,105,17.449,154.777,720.646,0.018,0.078,0.032,0.01,0.027,419.66,1430.731,0.271,14.762,79.776,0.0,0.47,0.0
3,106,468.971,2668.008,0.126,0.367,1.257,0.0,0.01,0.028,37.172,111.616,1.794,0.099,0.358,0.0,0.0,0.0
3,107,154.402,1474.752,0.0,179.231,2134.228,0.0,0.599,2.084,108.862,486.63,6.436,118.291,810.292,0.0,0.0,0.0
