ID,Session 2,Session 3,Session 4,Session 5,Session 6,Nota primera oportunidad,Nota segunda oportunidad
37,0.0,0.0,4.5,3.5,3.0,19.0,30.0
38,4.0,2.5,4.5,3.5,3.0,0.0,41.5
39,3.0,1.0,4.5,3.5,2.5,41.0,83.5
40,0.0,0.0,3.0,2.5,0.0,0.0,0.0
41,5.5,4.0,5.0,4.0,3.25,98.0,0.0
42,3.0,2.5,4.0,4.0,1.5,0.0,22.5
43,4.5,2.5,4.5,0.0,0.0,0.0,0.0
44,5.5,4.0,4.5,4.0,3.0,50.0,97.5
45,0.0,1.0,4.5,2.5,0.0,0.0,46.0
46,2.0,0.5,4.0,4.0,1.0,12.0,22.0
47,4.0,2.0,4.0,2.5,0.25,0.0,28.0
48,3.5,2.5,4.5,4.0,2.5,71.5,0.0
49,3.0,2.5,4.5,3.5,2.75,0.0,30.5
50,2.0,2.0,4.0,3.5,1.5,0.0,0.0
51,1.0,1.0,4.0,4.0,0.5,8.5,9.0
52,6.0,4.0,5.0,4.0,2.25,0.0,36.0
53,4.0,3.0,4.5,3.5,3.0,70.5,0.0
54,4.5,3.5,4.5,3.5,0.75,0.0,39.0
55,2.0,3.5,4.5,4.0,2.5,0.0,36.5
56,2.5,3.0,4.5,3.0,3.0,71.5,84.0
57,0.0,0.0,4.5,0.0,2.75,0.0,23.0
58,0.0,0.0,4.5,0.0,0.0,0.0,48.0
59,3.5,2.0,4.0,3.5,2.0,40.0,29.5
60,2.0,0.5,4.0,3.5,1.0,0.0,16.5
61,0.0,1.0,4.5,3.5,1.5,0.0,57.5
62,0.0,0.0,4.0,0.0,0.0,22.0,43.0
63,3.5,1.5,5.0,3.5,1.0,69.0,0.0
64,0.0,0.0,4.0,3.5,1.5,0.0,20.5
65,0.0,0.0,4.0,3.5,1.5,0.0,0.0
66,0.0,2.0,4.5,3.0,2.25,86.0,0.0
67,5.5,4.0,4.5,4.0,2.75,80.5,92.0
68,5.5,3.5,5.0,4.0,3.0,62.5,91.0
69,0.0,0.5,4.0,4.0,2.0,0.0,23.5
70,5.5,4.0,5.0,4.0,3.25,0.0,60.5
71,5.0,0.0,5.0,3.5,0.0,0.0,90.5
72,4.5,3.0,4.0,3.5,2.75,95.0,0.0
73,4.5,3.0,4.0,0.0,2.0,28.5,49.0
74,3.0,1.5,5.0,4.0,1.75,18.0,0.0
75,0.0,4.0,5.0,4.0,2.0,0.0,87.5
76,4.0,4.0,4.0,4.0,2.0,93.5,0.0
77,0.0,0.0,4.0,0.0,0.0,0.0,66.5
78,2.5,3.0,5.0,4.0,2.75,78.0,0.0
79,5.0,3.5,4.5,4.0,2.75,0.0,84.5
80,3.5,1.0,5.0,4.0,2.5,0.0,51.5
81,5.0,4.0,5.0,4.0,2.75,87.0,0.0
82,2.5,2.5,4.0,3.5,1.5,0.0,13.5
83,4.0,2.5,4.5,4.0,2.0,35.5,52.0
84,2.5,0.0,4.5,0.0,0.0,0.0,0.0
85,6.0,4.0,5.0,4.0,4.0,82.0,0.0
86,5.0,4.0,5.0,4.0,3.25,94.0,0.0
87,4.0,3.5,4.5,3.5,2.25,46.0,74.5
88,5.0,3.0,5.0,4.0,2.75,96.0,0.0
89,0.5,1.5,3.5,2.5,0.5,16.5,0.0
90,3.5,2.5,4.5,3.5,3.0,0.0,0.0
91,6.0,4.0,5.0,4.0,2.25,0.0,66.5
92,2.5,2.5,4.5,4.0,1.0,19.5,35.0
93,4.0,4.0,4.5,4.0,1.5,66.0,0.0
94,5.5,4.0,5.0,4.0,2.75,0.0,92.5
95,4.0,3.5,5.0,3.0,3.25,0.0,52.5
96,4.5,0.0,5.0,4.0,2.25,77.5,0.0
97,4.0,3.0,4.5,0.0,0.5,0.0,0.0
98,3.5,4.0,5.0,4.0,3.0,66.5,0.0
99,2.0,2.5,4.0,3.5,1.5,9.5,17.0
100,3.5,2.0,0.0,4.0,3.0,83.0,0.0
101,4.5,1.5,0.0,3.5,0.0,18.5,32.0
102,4.5,4.0,4.0,3.5,2.0,0.0,31.5
103,2.0,0.0,0.0,3.5,0.0,0.0,18.5
104,6.0,0.0,4.5,4.0,2.75,0.0,92.0
105,0.0,0.5,0.0,0.0,0.0,0.0,0.0
106,0.0,3.5,0.0,0.0,0.0,45.5,71.0
107,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,3.0,0.0,0.0,3.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
