Sesion,Id,Other,Blank,Deeds,Texteditor,Diagram,Study,Aulaweb,Properties,Fsm,Nota
3,61,16.593,5.547,0.0,0.0,5.0,0.0,7.794,1.167,1.0,1.0
3,63,6.431,2.69,1.0,0.0,7.9,0.0,4.062,1.5,0.0,1.5
3,66,11.238,8.982,0.0,0.0,11.608,0.0,3.342,1.154,0.0,2.0
3,67,14.047,5.294,0.0,0.0,14.093,0.0,7.439,1.333,0.0,4.0
3,68,4.267,2.152,1.0,0.0,4.957,0.0,3.308,1.75,0.0,3.5
3,69,21.833,6.0,0.0,0.0,6.667,0.0,11.2,1.0,0.0,0.5
3,70,4.095,5.429,0.0,0.0,15.075,0.0,3.2,1.667,0.0,4.0
3,72,5.649,3.196,0.0,0.0,9.538,0.0,4.2,2.211,0.0,3.0
3,73,5.141,25.709,0.0,0.0,8.479,0.0,0.0,1.615,0.0,3.0
3,74,7.325,4.256,0.0,0.0,3.974,0.0,2.853,1.111,0.0,1.5
3,75,4.692,3.0,0.0,0.0,21.065,0.0,1.75,3.0,0.0,4.0
3,76,5.703,2.4,0.0,0.0,11.738,0.0,2.815,1.4,0.0,4.0
3,78,4.052,2.429,0.0,0.0,6.484,0.0,3.231,2.1,0.0,3.0
3,79,3.838,1.923,0.0,0.0,22.137,0.0,4.125,1.5,0.0,3.5
3,80,57.868,1.433,0.0,0.0,8.966,0.0,22.125,1.375,0.0,1.0
3,81,6.1,8.778,0.0,0.0,16.417,0.0,1.667,1.25,0.0,4.0
3,82,11.738,3.639,0.0,0.0,4.276,0.0,3.697,1.2,0.0,2.5
3,83,4.991,2.375,0.0,0.0,4.969,0.0,1.9,3.667,0.0,2.5
3,84,5.712,3.286,0.0,0.0,29.067,0.0,0.0,1.8,0.0,0.0
3,85,3.382,2.696,0.0,0.0,14.882,0.0,4.967,1.85,0.0,4.0
3,86,3.686,2.12,0.0,0.0,12.73,0.0,2.667,1.0,0.0,4.0
3,87,4.976,4.412,0.0,0.0,13.214,0.0,3.667,1.0,0.0,3.5
3,88,22.78,3.639,0.0,0.0,6.806,0.0,2.2,1.8,0.0,3.0
3,89,59.745,1.667,0.0,0.0,42.667,0.0,0.0,3.222,0.0,1.5
3,90,3.108,8.448,0.0,0.0,5.519,0.0,2.615,1.75,0.0,2.5
3,91,5.025,4.44,0.0,0.0,15.667,0.0,4.778,1.2,0.0,4.0
3,92,6.205,4.333,0.0,0.0,17.0,0.0,7.077,1.886,0.0,2.5
3,93,5.129,3.023,0.0,0.0,16.333,0.0,7.889,1.333,0.0,4.0
3,94,7.058,3.371,0.0,0.0,16.7,0.0,2.1,1.0,0.0,4.0
3,95,4.264,5.621,0.0,0.0,5.619,0.0,1.579,2.438,0.0,3.5
3,97,3.762,2.429,0.0,0.0,7.114,0.0,3.781,2.143,0.0,3.0
3,98,11.417,2.286,0.0,0.0,25.613,0.0,0.0,1.667,0.0,4.0
3,99,4.894,1.833,0.0,0.0,9.794,0.0,3.0,1.842,0.0,2.5
3,100,6.854,5.388,0.0,0.0,9.686,0.0,5.261,2.579,0.0,2.0
3,101,7.217,4.408,0.0,0.0,4.077,0.0,6.304,1.2,0.0,1.5
3,102,3.923,1.93,0.0,0.0,7.732,0.0,6.0,0.0,0.0,4.0
3,105,5.429,1.5,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.5
3,106,16.864,2.3,0.0,0.0,15.774,0.0,1.714,1.0,0.0,3.5
3,107,10.9,8.198,0.0,0.0,11.0,0.0,8.4,1.778,0.0,1.0
