session,student_Id,Md_Other,Ds_Other,Md_Aulaweb,Ds_Aulaweb,Md_Blank,Ds_Blank,Md_Deeds,Md_Study,Md_Properties,Ds_Properties,Md_Diagram,Ds_Diagram,Md_TextEditor,Md_Fsm,Ds_TextEditor
5,15,240.427,2790.301,171.065,1435.286,5.543,30.974,0.016,0.0,3.169,17.207,313.613,2374.279,6.947,0.0,0.0
5,16,81.434,860.151,1.185,2.241,2.936,17.499,0.078,435.492,10.832,97.967,92.027,479.318,0.002,0.0,0.0
5,17,31.46,203.592,88.686,731.283,41.394,486.711,0.0,1481.972,169.043,750.895,1073.575,5840.007,1276.639,0.0,0.0
5,18,2.616,15.98,0.162,0.435,29.091,351.372,0.077,0.0,4403.423,27026.022,34.383,142.078,0.048,0.0,0.0
5,19,26.503,146.657,169.566,160.653,0.853,4.538,0.047,0.0,1.402,7.905,139.711,389.242,289.682,0.0,0.0
5,20,9.148,93.184,3.571,12.806,18.641,275.325,0.0,0.0,3.186,17.312,224.665,1445.554,0.0,0.0,0.0
5,22,11.054,60.924,10.451,40.811,3.908,42.273,1325.123,0.0,0.885,3.574,448.084,1777.458,0.0,0.0,0.0
5,23,49.525,389.745,1876.623,15700.071,2.128,11.854,8.596,0.0,4.29,10.94,373.848,1747.298,2.031,0.0,0.0
5,24,148.988,1023.452,79.629,353.462,3.629,28.556,0.0,0.016,23.614,144.328,83.794,364.211,0.36,0.0,0.0
5,27,5.884,42.403,157.293,708.665,2.134,19.847,0.016,25.3,17.784,131.687,276.641,1176.081,1391.313,0.0,0.0
5,28,-1031399.144,10026066.421,-590488.175,2533475.852,-260298.38,2455075.013,0.062,0.0,-76676.229,573941.815,-18362885.142,173653285.544,-2310692134.875,0.0,4002236178.361
5,29,5.967,73.069,0.165,0.654,0.197,0.609,0.0,0.0,3.679,34.228,74.77,410.984,65.506,0.0,0.0
5,30,20.776,136.606,1095.084,6494.044,18.688,198.356,0.0,0.0,128.144,816.488,517.189,3136.886,13414.122,0.0,0.0
5,31,21.576,107.502,2.727,11.105,2.661,23.264,0.0,0.156,2.0,8.141,261.1,1142.121,0.0,0.0,0.0
5,32,8.394,54.827,3.844,23.363,0.532,6.16,0.0,0.047,5.325,38.511,808.477,6556.308,9.657,0.0,0.0
5,34,19.46,85.802,152.409,863.594,151.516,1258.675,0.0,0.0,19.446,138.441,405.918,4562.661,161323.682,0.0,0.0
5,35,9.262,46.253,6.749,35.593,9.394,69.464,0.0,22.806,18.287,87.522,313.671,3351.659,6622.559,0.0,0.0
5,36,51.704,405.941,120.993,506.163,0.247,1.517,0.0,9.283,35.061,185.601,269.748,1010.644,0.0,0.0,0.0
5,37,21.829,126.794,0.225,0.563,247.586,3023.766,1.44,0.032,174.925,847.215,288.444,1375.507,4051.338,0.0,0.0
5,38,49.311,419.464,43.202,275.193,20.546,157.406,1.324,9.253,0.223,0.636,117.345,400.318,1.981,0.0,0.0
5,39,100.993,923.946,3.735,23.034,2.572,33.162,0.0,0.0,33.687,283.398,619.126,3421.821,22120.733,0.047,0.0
5,40,5.762,17.682,20.155,101.382,0.057,0.212,0.015,276.599,11.681,24.368,298.755,1918.162,0.22,0.0,0.0
5,41,56.928,397.303,3.062,10.799,13.911,167.283,0.0,1040.377,6.382,44.142,193.723,694.316,0.0,0.0,0.0
5,42,32.458,343.153,6.155,38.719,2.815,19.097,0.0,0.015,12.95,79.902,625.273,3646.998,0.064,0.0,0.0
5,44,0.821,5.945,14.155,116.751,0.951,7.635,0.0,0.0,0.878,5.247,223.925,1127.041,1128.11,0.0,0.0
5,45,30.791,84.906,36.464,82.054,7.677,29.255,0.592,0.03,5.975,25.328,434.715,2455.604,0.0,0.0,0.0
5,47,13722.292,314987.379,28.214,134.031,0.95,10.264,0.0,9585.539,5.217,19.232,331.574,2446.742,0.0,2.325,0.0
5,48,130.759,1123.1,19.628,63.402,26.458,232.814,0.0,0.0,3.574,18.008,355.424,2398.367,5149.492,0.0,0.0
5,49,17.041,132.981,18.339,148.361,2.52,23.351,0.0,0.016,1.567,8.183,330.512,1690.438,2560.582,0.0,0.0
5,50,40.25,167.229,120.479,414.794,3.801,17.161,0.656,0.0,5.815,27.878,2868.927,26402.063,1672.064,0.0,0.0
5,51,5.136,32.898,2.272,16.478,0.268,1.676,0.0,0.0,68.834,272.829,311.639,1469.103,7380.429,0.0,0.0
5,52,11.705,69.847,82.815,361.132,1.236,7.214,0.0,0.0,23.392,108.194,282.566,1555.725,6.959,0.0,0.0
5,53,6.944,53.915,339.772,1828.731,4.62,41.269,0.0,360.518,11.665,65.274,509.825,3284.058,0.0,0.0,0.0
5,54,83.41,897.594,11.957,64.942,1.562,11.818,0.031,0.0,64.528,472.312,185.318,1158.92,0.563,0.048,0.0
5,55,10.941,90.028,6.702,23.046,150.634,2284.932,0.015,74.527,3031.276,23438.746,384.732,2287.599,0.0,0.0,0.0
5,56,7.674,54.385,5.398,33.969,46.076,722.235,0.0,1446.89,18.669,196.939,489.851,3999.597,0.322,0.0,0.0
5,59,40.434,361.062,85.283,711.273,19.269,284.405,0.0,0.0,17.051,62.123,2370.409,19617.008,0.157,0.0,0.0
5,60,16.484,149.11,9.635,30.494,0.242,1.443,0.0,0.0,9.733,58.487,654.479,3932.511,0.0,0.0,0.0
5,61,16.987,136.236,49.532,332.316,8.212,92.503,0.11,496.558,4.383,32.365,93.934,619.955,2484.685,0.078,0.0
5,63,72.981,478.05,11.42,92.132,6.022,72.236,0.002,0.016,7.152,46.579,604.5,5173.501,2971.6,0.0,0.0
5,64,20.715,67.175,42.949,148.337,6.426,54.832,0.0,7.875,27.25,100.758,204.946,858.236,0.016,0.0,0.0
5,65,80.467,500.782,0.408,1.14,23.151,190.756,0.0,0.14,8.972,66.488,380.68,4527.204,1639.362,0.0,0.0
5,66,187.869,2350.753,3.032,17.278,12.22,115.257,0.5,0.0,1.257,4.374,209.994,1701.869,1.56,0.0,0.0
5,67,229.827,1752.363,65.308,686.688,17.373,174.671,0.0,0.0,4.447,38.332,750.378,3594.784,45.872,0.0,0.0
5,68,23.279,131.327,17.121,94.869,0.449,2.242,0.0,0.016,10.47,49.09,610.249,4225.243,927.602,0.0,0.0
5,69,87.922,351.325,30.22,83.172,792.243,5647.834,0.0,0.0,60.118,361.512,2747.582,23068.807,828.89,0.0,0.0
5,70,10.173,80.689,2.232,7.184,2.948,22.139,0.0,0.0,17.759,119.217,625.167,5133.981,62070.933,0.0,0.0
5,71,198.253,2100.564,5.29,26.882,1.813,13.443,0.485,0.0,0.399,1.007,56.524,200.724,1.332,0.0,0.0
5,72,11.505,85.839,1.722,9.022,10.146,98.523,0.0,0.062,3.576,15.261,426.489,2717.774,0.111,0.0,0.0
5,74,35.041,474.456,5.219,28.199,16.045,248.864,0.188,6.015,9.339,67.722,163.015,1517.513,5613.118,0.0,0.0
5,75,19.649,139.441,5.297,30.233,0.138,0.55,0.233,0.031,9.142,35.102,132.986,660.831,0.0,0.0,0.0
5,76,15.49,83.1,43.593,395.521,0.187,1.051,0.0,0.03,1.34,6.752,210.673,1379.506,0.0,0.0,0.0
5,78,23.41,301.711,0.627,3.073,0.785,4.552,0.062,0.0,43.237,382.519,317.655,2189.956,175131.608,0.0,0.0
5,79,13.97,72.684,3.695,15.112,1033.647,10834.65,0.874,0.062,6.729,28.941,987.867,4360.468,18.232,0.0,0.0
5,80,13925.099,255770.001,374.592,2386.846,4.295,48.779,0.0,0.016,2.596,10.372,326.027,1293.606,2212.715,0.0,0.0
5,81,51.822,518.844,25.874,153.509,30.388,354.405,0.0,82.221,5.463,37.572,284.511,1428.384,3703.157,0.0,0.0
5,82,303.734,5465.282,10.563,88.587,3.346,40.43,0.03,0.0,1.713,8.27,186.539,1286.091,1.284,0.0,0.0
5,83,9.66,129.465,0.572,1.899,0.937,7.056,0.0,0.016,2.55,6.929,475.535,3993.902,0.269,0.0,0.0
5,85,60.156,1050.587,274.85,2283.53,8.676,87.918,0.0,0.03,2.495,17.364,533.884,3199.909,0.015,0.0,0.0
5,86,7.854,67.447,2.947,15.38,1.193,15.804,0.0,0.0,15.079,107.346,768.144,3778.791,1568.753,0.0,0.0
5,87,17.545,147.667,2.779,12.988,5.861,37.96,0.0,76.495,19.181,157.33,206.644,869.817,956.138,0.0,0.0
5,88,7.413,24.748,3.389,13.985,7.283,51.143,1.062,0.0,12.141,76.811,384.248,2065.401,0.514,0.0,0.0
5,89,4095.627,41936.827,0.144,0.305,3.341,11.783,0.0,0.0,70.544,484.354,10214.692,70745.915,2629.0,0.0,0.0
5,90,28.629,468.905,0.449,2.004,35.626,276.999,0.0,0.0,0.129,0.376,149.054,727.234,29.695,0.0,0.0
5,91,271.694,4258.102,39.509,229.011,14.17,141.845,0.064,0.0,3.081,17.64,413.089,1935.995,0.032,0.0,0.0
5,92,33.133,176.795,57.296,396.027,0.884,5.296,0.0,0.047,31.115,138.724,2833.503,24186.835,0.0,0.0,0.0
5,93,13.141,69.179,2050.228,14705.099,6.483,45.197,0.0,0.046,4.947,25.985,189.283,844.207,31286.165,0.0,0.0
5,94,70.432,848.716,2.047,9.588,4.089,26.706,0.0,0.0,6.617,27.862,445.18,1958.065,879.853,0.0,0.0
5,95,4.962,34.711,0.306,1.411,3.725,36.015,4.056,0.045,5.014,36.95,172.013,1226.351,0.016,0.016,0.0
5,96,3.49,20.806,2.648,8.454,0.693,3.089,0.0,0.0,10.692,83.221,400.691,2110.344,0.0,0.0,0.0
5,98,185.313,2095.326,657.491,3199.826,0.945,3.258,0.0,0.547,11.42,68.951,660.279,2749.4,28.293,0.47,0.0
5,99,17.916,164.364,2.176,8.498,9.502,59.829,0.0,0.0,8.365,69.057,366.046,1737.423,15778.122,0.0,0.0
5,100,54.62,302.315,24.544,94.026,17.606,171.324,0.0,0.0,1.529,8.321,184.829,747.443,79.546,0.0,0.0
5,101,16.469,118.768,24.354,92.537,0.353,2.071,0.0,0.016,0.016,0.059,371.351,2060.783,0.0,0.0,0.0
5,102,16.194,96.517,5.071,13.921,3.044,35.441,0.0,0.0,6.717,46.16,150.588,1063.943,17277.949,0.0,0.0
5,103,55.293,295.314,2.15,5.704,36.791,312.122,0.0,1.329,0.865,2.923,187.944,1182.249,23.958,0.0,0.0
5,104,80.778,758.786,50.74,232.61,2.906,16.789,0.093,0.25,2.067,9.424,226.511,887.089,0.939,0.0,0.0
