session,student_Id,Md_Other,Ds_Other,Md_Aulaweb,Ds_Aulaweb,Md_Blank,Ds_Blank,Md_Deeds,Md_Study,Md_Properties,Ds_Properties,Md_Diagram,Ds_Diagram,Md_TextEditor,Md_Fsm,Md_FSM
6,16,66.227,771.482,1.09,2.144,2.229,15.248,0.0,1.923,7.57,70.589,97.163,477.221,0.0,0.0,11204.278
6,17,24.138,177.033,73.753,666.882,74.929,796.272,0.094,1411.879,153.934,779.753,1026.466,5699.38,45.422,0.0,0.0
6,18,5.469,53.791,1.396,9.204,22.912,306.757,0.0,0.08,1100.96,13339.009,36.535,146.53,0.609,0.0,0.0
6,19,21.246,129.444,169.566,160.653,1.091,5.142,0.0,0.0,1.701,8.832,133.735,381.571,1.17,0.0,159.658
6,20,8.565,85.914,3.43,12.485,15.561,250.906,278.508,0.016,2.955,15.487,227.022,1427.816,0.094,0.0,11.043
6,24,117.306,909.049,77.28,327.58,5.918,45.478,0.0,81.01,30.502,187.52,80.187,356.565,3.172,0.0,0.0
6,25,10.083,56.553,126.071,698.767,2.673,23.643,0.0,0.015,35.41,267.966,5219.505,46635.629,6453.213,0.0,31.519
6,27,13.184,107.107,197.4,714.412,2.619,19.139,0.0,4147.015,115.105,885.461,268.095,1149.415,0.22,0.0,125.257
6,28,-858985.954,9155138.593,-513464.247,2368985.05,-193964.239,2121159.44,1.591,0.0,-20808.526,299247.503,-16977006.093,167010278.0,0.077,0.0,0.0
6,29,4.806,65.221,0.15,0.606,0.167,0.553,0.0,5.969,19.236,181.698,73.509,404.15,5.748,0.0,0.154
6,30,18.351,126.612,992.18,6186.55,16.407,185.476,0.063,0.016,108.526,664.205,503.03,3093.947,8.39,0.0,2.695
6,32,6.862,48.756,3.068,20.902,0.485,5.405,0.109,0.0,3.923,34.513,780.3,6425.588,1.912,0.0,0.0
6,34,32.979,218.249,143.942,839.719,137.199,1198.065,0.0,0.0,15.043,117.649,396.629,4510.321,0.0,0.0,170214.236
6,35,30.581,349.642,1688.936,16221.184,6.958,59.793,0.0,0.0,14.359,73.309,297.005,3260.338,15.247,0.0,0.0
6,36,55.014,396.578,120.993,506.163,1.343,6.66,0.001,154.073,115.664,1190.255,263.995,1000.35,0.0,0.0,13722.821
6,37,13.025,92.353,0.655,2.468,202.008,2708.772,0.0,2076.481,50.542,436.063,272.182,1336.062,82.831,0.0,0.0
6,38,41.956,376.334,122.558,731.208,18.662,149.839,0.0,0.047,117.127,1286.624,110.305,388.945,6.163,0.0,0.0
6,39,82.899,825.644,3.073,20.649,2.211,29.904,0.0,0.0,23.734,214.733,600.275,3368.701,3.333,0.047,0.0
6,41,45.475,353.817,6.633,28.726,24.014,300.391,0.0,530.259,6.667,36.025,155.249,618.019,3.617,0.0,0.0
6,42,25.599,302.597,67.766,477.138,2.447,17.703,0.0,0.143,8.995,63.158,608.442,3597.924,0.0,0.0,0.094
6,44,0.706,5.322,12.149,102.122,0.82,7.066,0.0,0.0,29.654,439.505,222.99,1118.569,0.031,0.0,10.751
6,46,22.477,220.369,75.702,541.563,0.166,1.116,0.015,0.079,8.574,65.122,389.052,2166.854,0.0,0.0,0.0
6,47,12345.788,298766.89,25.943,128.649,0.796,8.959,0.0,0.032,5.018,30.555,315.694,2377.779,83.04,2.325,51169.476
6,48,169.958,1460.134,19.628,63.402,22.346,212.486,0.0,0.0,5.629,32.052,342.588,2354.456,5049.798,0.0,0.0
6,49,12.905,115.182,20.925,140.88,9.57,106.969,0.0,0.0,5.468,46.559,325.161,1675.833,0.375,0.0,0.0
6,50,89.853,745.095,230.429,1050.542,60.471,591.379,0.031,0.046,9.804,45.194,2776.013,25973.013,139.037,0.0,137.495
6,51,4.648,31.168,28.352,283.09,0.51,3.224,0.0,0.0,41.738,204.626,300.443,1443.306,0.008,0.0,0.0
6,52,12.971,69.515,82.815,361.132,1.049,6.577,0.594,0.39,159.262,2026.619,265.639,1509.431,30.557,0.0,0.0
6,53,6.182,50.572,339.772,1828.731,4.884,39.946,0.0,0.0,12.774,77.824,480.026,3179.121,0.0,0.0,0.0
6,54,80.048,807.014,49.758,260.717,1.368,10.993,0.0,393.79,53.729,364.701,176.445,1131.168,5.766,0.048,0.0
6,56,8.845,54.062,6.51,32.08,39.285,666.426,0.0,0.0,14.608,141.654,474.936,3938.724,0.0,0.0,13.323
6,57,122.321,663.047,1593.72,6363.849,56.859,392.02,0.0,0.0,41.955,317.38,419.92,2494.075,733.305,0.0,10.266
6,59,52.371,482.18,95.082,677.416,16.538,263.318,0.0,0.234,12.581,49.861,2293.804,19296.491,0.407,0.0,0.047
6,60,27.258,216.532,8.678,28.458,0.213,1.282,0.0,0.47,6.204,46.5,626.962,3850.632,0.0,0.0,0.0
6,61,14.669,119.98,55.999,320.474,8.543,87.661,0.0,0.0,29.447,312.346,93.596,611.255,2.209,0.078,0.0
6,63,60.051,419.618,20.05,128.527,5.744,66.954,0.008,2594.0,8.367,60.1,593.866,5111.108,0.075,0.0,0.0
6,64,22.673,73.317,6553.0,36284.632,41.465,321.143,0.0,196.383,30.848,136.757,204.946,858.236,6.22,0.0,18022.339
6,65,54.457,390.73,27.01,100.884,193.516,2200.255,0.125,0.0,6.977,53.752,362.468,4410.071,121.521,0.0,605.481
6,66,145.999,2073.208,2.861,16.73,10.338,105.891,0.0,0.0,8.907,91.004,200.255,1661.434,0.0,0.0,0.0
6,67,190.092,1594.79,52.666,613.683,13.93,155.73,0.126,0.0,14.925,86.871,729.294,3526.218,0.022,0.0,51.551
6,68,20.012,117.815,35.501,155.378,0.415,2.133,0.673,0.0,41.078,358.559,597.298,4143.586,0.0,0.0,5531.345
6,69,59.6,283.057,93.992,706.473,495.008,4307.483,3375.404,5954.443,33.066,259.779,2649.639,22655.859,16.806,0.0,23972.255
6,70,9.947,77.833,7.111,37.46,3.875,24.034,0.0,0.0,42.072,254.917,651.33,4991.627,232.823,0.0,0.0
6,72,21.857,208.897,1.53,8.492,8.02,87.647,0.0,0.079,106.109,1459.509,408.632,2660.252,2164.471,0.0,0.0
6,73,8.228,36.824,0.0,0.0,1072.956,6088.348,0.0,0.0,28.829,209.483,328.28,1219.684,0.032,0.0,21.34
6,74,31.0,436.647,49.183,443.56,24.328,320.71,0.0,0.0,63.463,713.52,159.187,1493.964,0.968,0.0,0.0
6,75,16.329,120.365,6.27,31.063,0.134,0.521,0.0,7.564,16.219,105.035,130.131,645.862,4.094,0.0,358.453
6,76,13.247,76.795,38.539,370.237,3.552,60.371,0.0,0.0,1.379,8.161,202.927,1352.485,0.782,0.0,202.023
6,78,19.123,258.67,0.815,3.26,0.683,4.212,0.0,0.591,20.479,231.43,294.139,2106.617,0.0,0.0,0.0
6,79,14.152,72.344,3.476,14.165,932.162,10287.998,0.0,0.971,17.557,68.546,959.749,4293.781,2.09,0.0,0.853
6,80,11996.331,237393.367,299.752,2136.795,6.815,71.624,0.0,0.0,76.035,656.955,315.03,1272.095,790.233,0.0,0.0
6,81,316.418,4796.013,22.76,143.294,26.474,330.162,5.807,91.766,4.413,28.217,321.325,1538.086,0.203,0.0,0.0
6,82,226.126,4683.577,7.786,75.857,2.835,37.111,0.0,0.0,1.292,6.515,180.181,1264.331,4.35,0.0,12174.213
6,83,7.44,110.19,5.515,31.945,0.926,6.608,257.868,2278.065,5.299,20.046,456.219,3901.692,7.187,0.0,1218.682
6,85,49.656,952.7,202.226,1953.424,6.426,75.426,0.0,19.722,9.03,79.931,472.133,3000.949,60.608,0.0,0.032
6,86,6.788,62.406,2.282,13.505,1.315,15.689,0.0,0.0,7.725,70.453,744.965,3714.826,0.016,0.0,1.22
6,87,12.478,120.273,2.436,12.184,5.364,34.076,0.0,0.0,11.079,109.888,200.859,858.177,0.768,0.0,11136.742
6,88,5.878,21.418,3.221,13.155,6.222,46.366,0.047,0.0,8.668,55.587,372.266,2033.206,1.015,0.0,0.016
6,89,3615.825,38531.394,0.144,0.305,1.832,7.649,61319.837,0.0,60.404,447.928,9612.209,68610.908,6058.802,0.0,39044.832
6,90,33.276,452.548,474.951,3147.041,32.111,263.103,0.0,0.0,22.941,119.478,141.509,709.221,12.649,0.0,0.0
6,91,258.166,3655.865,39.509,229.011,35.765,488.831,0.001,0.0,5.391,29.616,405.008,1917.071,0.0,0.0,377.87
6,92,29.629,165.169,56.477,393.206,0.815,5.088,2331.08,0.0,24.331,124.823,2734.975,23751.248,4.056,0.0,43518.083
6,93,21.641,167.884,1906.772,14179.978,5.54,41.801,0.031,0.0,5.265,38.081,182.526,829.65,0.0,0.0,75.053
6,94,64.141,788.168,4.526,29.549,3.77,24.5,342.02,0.736,4.041,20.599,427.606,1918.422,0.093,0.0,0.0
6,95,6.804,49.502,0.29,1.309,3.697,31.586,0.591,26.351,14.771,98.466,207.669,1322.218,0.015,0.016,0.0
6,96,3.054,18.943,2.178,7.455,0.618,2.823,0.0,0.0,89.718,787.824,386.647,2074.137,0.0,0.0,0.265
6,97,54.773,667.355,16.396,152.763,1.411,14.664,0.0,21.804,26.144,242.159,1015.704,10386.647,0.0,0.0,582.308
6,98,145.522,1801.894,657.491,3199.826,0.785,2.941,0.0,0.0,46.803,391.012,597.307,2561.666,2.032,0.47,0.0
6,99,32.046,276.628,3.561,11.992,25.493,249.692,0.279,19711.409,16.134,150.419,339.371,1674.842,1.315,0.0,0.0
6,102,13.928,88.902,5.071,13.921,2.764,33.578,0.28,6.272,50.961,338.624,147.168,1051.954,2302.717,0.0,0.0
6,104,59.046,638.901,31.972,185.202,17.932,188.845,0.863,274.304,9.513,75.381,190.402,774.678,0.734,0.0,0.0
