session,student_Id,Md_Other,Ds_Other,Md_Aulaweb,Ds_Aulaweb,Md_Blank,Ds_Blank,Md_Deeds,Md_Study,Md_Properties,Ds_Properties,Md_Diagram,Ds_Diagram,Md_TextEditor,Ds_TextEditor,Md_Fsm
1,100,92.266,424.673,39.907,127.698,19.503,203.27,0.156,0.015,0.484,0.698,204.512,748.289,2.874,6.15,0.0
1,101,11.461,65.664,42.457,136.403,0.26,1.179,0.032,4.685,0.059,0.108,1440.371,4127.031,1.497,0.0,0.0
1,102,15.782,70.456,6.22,15.856,9.507,64.215,0.0,0.0,11.12,59.36,203.786,960.816,26.477,0.0,0.0
1,104,140.681,1089.825,141.483,420.043,0.954,2.872,0.0,2.03,5.008,14.717,556.507,1082.786,1.126,0.0,0.0
1,105,4.683,15.711,17.24,86.48,0.006,0.011,0.015,0.0,0.003,0.006,419.66,1430.731,0.314,0.0,0.0
1,108,183.824,1467.606,66.751,270.9,5.169,15.559,0.0,0.391,0.053,0.058,183.505,475.417,1351.488,0.0,0.062
1,109,7.357,53.828,7.543,33.988,0.723,4.699,0.0,0.0,0.285,0.673,107.937,313.068,0.416,0.668,0.0
1,110,56.186,198.104,82.418,99.657,4.905,24.578,0.219,0.125,1986.185,9506.252,731.803,2402.571,0.0,0.0,0.0
1,111,50.171,384.536,2.621,8.26,2.077,19.025,0.0,0.0,0.728,2.86,271.608,1493.972,4.187,0.0,0.878
1,112,191.599,1109.752,7.518,20.412,6.477,29.705,0.0,0.0,0.732,2.502,1439.185,5535.817,61.481,0.0,0.0
1,113,17.057,98.037,3.574,12.698,3.104,11.002,0.048,8.927,1.285,2.482,1116.899,2226.539,63.435,0.0,0.0
1,114,25.911,185.633,95.781,534.515,2.16,11.725,0.015,0.109,0.675,1.632,507.463,1971.772,0.0,0.0,0.0
1,115,50.762,427.657,30.084,55.346,3.507,15.641,0.547,1.951,0.556,1.256,650.613,1333.025,14.546,0.0,0.0
