Sesion,Id,Other,Blank,Deeds,Texteditor,Diagram,Study,Aulaweb,Properties,Fsm,Nota
3,95,371.0,163.0,0.0,0.0,236.0,0.0,30.0,39.0,0.0,4.0
3,97,237.0,68.0,0.0,0.0,313.0,0.0,121.0,45.0,0.0,4.0
3,98,548.0,16.0,0.0,0.0,794.0,0.0,0.0,5.0,0.0,5.0
3,99,416.0,33.0,0.0,0.0,333.0,0.0,51.0,35.0,0.0,3.0
3,100,1083.0,264.0,0.0,0.0,339.0,0.0,121.0,49.0,0.0,2.0
3,101,332.0,216.0,0.0,0.0,106.0,0.0,145.0,6.0,0.0,2.0
3,102,306.0,110.0,0.0,0.0,433.0,0.0,48.0,0.0,0.0,5.0
3,105,190.0,6.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0
3,106,371.0,46.0,0.0,0.0,489.0,0.0,12.0,1.0,0.0,4.0
3,107,2180.0,664.0,0.0,0.0,451.0,0.0,546.0,16.0,0.0,1.0
