,ID,Session 2,Session 3,Session 4,Session 5,Session 6,Nota primera oportunidad,Nota segunda oportunidad,aprobar
38,39,3.0,1.0,4.5,3.5,2.5,41.0,83.5,1
39,40,0.0,0.0,3.0,2.5,0.0,0.0,0.0,0
40,41,5.5,4.0,5.0,4.0,3.25,98.0,0.0,1
41,42,3.0,2.5,4.0,4.0,1.5,0.0,22.5,0
42,43,4.5,2.5,4.5,0.0,0.0,0.0,0.0,0
43,44,5.5,4.0,4.5,4.0,3.0,50.0,97.5,1
44,45,0.0,1.0,4.5,2.5,0.0,0.0,46.0,0
45,46,2.0,0.5,4.0,4.0,1.0,12.0,22.0,0
46,47,4.0,2.0,4.0,2.5,0.25,0.0,28.0,0
47,48,3.5,2.5,4.5,4.0,2.5,71.5,0.0,1
48,49,3.0,2.5,4.5,3.5,2.75,0.0,30.5,0
49,50,2.0,2.0,4.0,3.5,1.5,0.0,0.0,0
50,51,1.0,1.0,4.0,4.0,0.5,8.5,9.0,0
51,52,6.0,4.0,5.0,4.0,2.25,0.0,36.0,0
52,53,4.0,3.0,4.5,3.5,3.0,70.5,0.0,1
53,54,4.5,3.5,4.5,3.5,0.75,0.0,39.0,0
54,55,2.0,3.5,4.5,4.0,2.5,0.0,36.5,0
55,56,2.5,3.0,4.5,3.0,3.0,71.5,84.0,1
56,57,0.0,0.0,4.5,0.0,2.75,0.0,23.0,0
57,58,0.0,0.0,4.5,0.0,0.0,0.0,48.0,0
58,59,3.5,2.0,4.0,3.5,2.0,40.0,29.5,0
59,60,2.0,0.5,4.0,3.5,1.0,0.0,16.5,0
60,61,0.0,1.0,4.5,3.5,1.5,0.0,57.5,0
61,62,0.0,0.0,4.0,0.0,0.0,22.0,43.0,0
62,63,3.5,1.5,5.0,3.5,1.0,69.0,0.0,1
63,64,0.0,0.0,4.0,3.5,1.5,0.0,20.5,0
64,65,0.0,0.0,4.0,3.5,1.5,0.0,0.0,0
65,66,0.0,2.0,4.5,3.0,2.25,86.0,0.0,1
66,67,5.5,4.0,4.5,4.0,2.75,80.5,92.0,1
67,68,5.5,3.5,5.0,4.0,3.0,62.5,91.0,1
68,69,0.0,0.5,4.0,4.0,2.0,0.0,23.5,0
69,70,5.5,4.0,5.0,4.0,3.25,0.0,60.5,1
70,71,5.0,0.0,5.0,3.5,0.0,0.0,90.5,1
71,72,4.5,3.0,4.0,3.5,2.75,95.0,0.0,1
72,73,4.5,3.0,4.0,0.0,2.0,28.5,49.0,0
73,74,3.0,1.5,5.0,4.0,1.75,18.0,0.0,0
74,75,0.0,4.0,5.0,4.0,2.0,0.0,87.5,1
75,76,4.0,4.0,4.0,4.0,2.0,93.5,0.0,1
76,77,0.0,0.0,4.0,0.0,0.0,0.0,66.5,1
77,78,2.5,3.0,5.0,4.0,2.75,78.0,0.0,1
78,79,5.0,3.5,4.5,4.0,2.75,0.0,84.5,1
79,80,3.5,1.0,5.0,4.0,2.5,0.0,51.5,0
80,81,5.0,4.0,5.0,4.0,2.75,87.0,0.0,1
81,82,2.5,2.5,4.0,3.5,1.5,0.0,13.5,0
82,83,4.0,2.5,4.5,4.0,2.0,35.5,52.0,0
83,84,2.5,0.0,4.5,0.0,0.0,0.0,0.0,0
84,85,6.0,4.0,5.0,4.0,4.0,82.0,0.0,1
85,86,5.0,4.0,5.0,4.0,3.25,94.0,0.0,1
86,87,4.0,3.5,4.5,3.5,2.25,46.0,74.5,1
87,88,5.0,3.0,5.0,4.0,2.75,96.0,0.0,1
88,89,0.5,1.5,3.5,2.5,0.5,16.5,0.0,0
89,90,3.5,2.5,4.5,3.5,3.0,0.0,0.0,0
90,91,6.0,4.0,5.0,4.0,2.25,0.0,66.5,1
91,92,2.5,2.5,4.5,4.0,1.0,19.5,35.0,0
92,93,4.0,4.0,4.5,4.0,1.5,66.0,0.0,1
93,94,5.5,4.0,5.0,4.0,2.75,0.0,92.5,1
94,95,4.0,3.5,5.0,3.0,3.25,0.0,52.5,0
95,96,4.5,0.0,5.0,4.0,2.25,77.5,0.0,1
96,97,4.0,3.0,4.5,0.0,0.5,0.0,0.0,0
97,98,3.5,4.0,5.0,4.0,3.0,66.5,0.0,1
98,99,2.0,2.5,4.0,3.5,1.5,9.5,17.0,0
99,100,3.5,2.0,0.0,4.0,3.0,83.0,0.0,1
100,101,4.5,1.5,0.0,3.5,0.0,18.5,32.0,0
101,102,4.5,4.0,4.0,3.5,2.0,0.0,31.5,0
102,103,2.0,0.0,0.0,3.5,0.0,0.0,18.5,0
103,104,6.0,0.0,4.5,4.0,2.75,0.0,92.0,1
104,105,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0
105,106,0.0,3.5,0.0,0.0,0.0,45.5,71.0,1
106,107,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
107,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
108,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
109,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
110,111,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0
111,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
112,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
113,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
114,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
